customer_id,churn_probability,top_1_name,top_1_value,top_1_impact,top_2_name,top_2_value,top_2_impact
15567431,0.1839,active_member,1.0,-1.1708,age,66.0,0.7432
15567437,0.2791,age,31.0,-1.1518,products_number,1.0,0.3133
15567442,0.0271,products_number,2.0,-1.0127,gender_Female,1.0,0.2124
15567446,0.3899,active_member,1.0,-0.4653,country_germany,1.0,0.542
15567486,0.0536,products_number,2.0,-1.3111,gender_Female,1.0,0.2954
15567557,0.0257,age,28.0,-1.4929,products_number,1.0,0.1142
15567725,0.3543,products_number,2.0,-1.0167,age,47.0,0.7133
15567802,0.0453,products_number,2.0,-1.4208,active_member,0.0,0.2694
15567832,0.2309,cidade_lyon,1.0,-0.4497,active_member,0.0,0.3148
15567834,0.4062,active_member,1.0,-0.533,age,51.0,1.3935
15567839,0.1547,active_member,1.0,-0.5095,age,44.0,0.4289
15567855,0.0205,age,30.0,-1.6873,active_member,0.0,0.2969
15567893,0.1978,age,34.0,-1.1706,active_member,0.0,0.3591
15567897,0.0668,age,25.0,-1.4596,products_number,1.0,0.2323
15567919,0.0538,products_number,2.0,-1.2053,limite_credito,145972.32,0.3498
15567923,0.2437,age,32.0,-1.2547,products_number,1.0,0.5505
15567991,0.0403,age,33.0,-1.2257,limite_credito,299468.62,0.3373
15567993,0.0602,age,30.0,-1.3409,active_member,0.0,0.338
15568025,0.345,active_member,1.0,-0.495,age,52.0,1.3033
15568032,0.5989,age,33.0,-1.5033,products_number,3.0,2.6696
15568044,0.0191,products_number,2.0,-1.2476,gender_Female,1.0,0.2715
15568088,0.2517,balance,163714.52,-0.4022,active_member,0.0,0.3101
15568104,0.0277,products_number,2.0,-1.1626,gender_Female,1.0,0.1847
15568106,0.088,products_number,2.0,-0.8278,limite_credito,323304.97,0.2922
15568120,0.123,age,39.0,-0.5823,gender_Female,1.0,0.2062
15568162,0.4837,active_member,1.0,-0.9382,age,54.0,1.5221
15568164,0.0804,age,36.0,-1.0221,limite_credito,213354.16,0.1919
15568238,0.0162,products_number,2.0,-1.2027,cidade_zaragoza,1.0,0.0624
15568240,0.0274,age,32.0,-1.2293,gender_Female,1.0,0.1635
15568326,0.1666,products_number,2.0,-1.5395,age,46.0,0.4011
15568328,0.0411,products_number,2.0,-1.1643,gender_Female,1.0,0.1594
15568360,0.2877,active_member,1.0,-0.5218,age,43.0,0.1547
15568429,0.2385,products_number,2.0,-1.5598,age,47.0,0.4613
15568469,0.0512,products_number,2.0,-1.7398,active_member,0.0,0.2531
15568487,0.0476,age,36.0,-1.1074,products_number,1.0,0.0947
15568506,0.0333,age,33.0,-1.3471,gender_Female,1.0,0.2113
15568519,0.0261,products_number,2.0,-1.5007,active_member,0.0,0.3549
15568562,0.1343,age,42.0,-0.4387,active_member,0.0,0.3579
15568595,0.084,active_member,1.0,-1.2909,age,66.0,0.5647
15568742,0.684,tenure,9.0,-0.1455,products_number,1.0,0.5166
15568834,0.0778,age,29.0,-1.2149,active_member,0.0,0.3378
15568876,0.0379,age,35.0,-1.554,active_member,0.0,0.2744
15568878,0.0235,products_number,2.0,-1.3471,active_member,0.0,0.3068
15568885,0.5509,age,35.0,-1.0144,products_number,1.0,0.477
15568915,0.2073,age,39.0,-0.8012,active_member,0.0,0.2987
15568953,0.0456,age,29.0,-1.4636,credit_score,477.0,0.1429
15568982,0.0263,products_number,2.0,-1.18,gender_Female,1.0,0.1715
15569120,0.0146,products_number,2.0,-1.261,credit_score,615.0,0.0379
15569178,0.2009,age,19.0,-1.4179,active_member,0.0,0.3519
15569187,0.0266,products_number,2.0,-1.3648,active_member,0.0,0.3412
15569209,0.1378,age,35.0,-1.0027,estimated_salary,158668.87,0.2592
15569222,0.0555,age,34.0,-1.2542,products_number,1.0,0.118
15569247,0.2902,active_member,1.0,-0.6533,age,58.0,1.4026
15569264,0.0491,age,34.0,-1.12,limite_credito,537374.19,0.1027
15569266,0.0646,age,29.0,-1.5051,active_member,0.0,0.3479
15569364,0.0303,products_number,2.0,-1.3987,active_member,0.0,0.3006
15569394,0.0564,age,25.0,-1.2851,active_member,0.0,0.3232
15569410,0.0823,age,34.0,-1.1502,gender_Female,1.0,0.2394
15569423,0.0482,products_number,2.0,-1.592,active_member,0.0,0.3374
15569430,0.1874,age,38.0,-0.8135,active_member,0.0,0.286
15569438,0.0319,products_number,2.0,-1.1468,active_member,0.0,0.2886
15569446,0.0891,age,36.0,-1.1225,active_member,0.0,0.2631
15569451,0.061,age,37.0,-0.7815,products_number,1.0,0.1524
15569452,0.2572,products_number,2.0,-1.0832,age,59.0,1.2877
15569503,0.0214,products_number,2.0,-1.7457,age,45.0,0.2932
15569526,0.097,products_number,2.0,-0.9263,active_member,0.0,0.3605
15569595,0.7928,estimated_salary,8199.5,-0.3107,age,52.0,1.3668
15569624,0.1313,age,32.0,-1.2617,active_member,0.0,0.2904
15569626,0.046,age,36.0,-0.9096,limite_credito,239262.85,0.0712
15569654,0.3297,age,32.0,-1.1865,active_member,0.0,0.4302
15569670,0.2376,age,31.0,-1.1665,country_germany,1.0,0.3582
15569678,0.2903,age,33.0,-1.2556,active_member,0.0,0.4089
15569759,0.3955,age,28.0,-1.6711,products_number,3.0,2.2662
15569764,0.6202,age,42.0,-0.3526,products_number,1.0,0.3788
15569867,0.0288,age,31.0,-1.3478,active_member,0.0,0.2004
15569878,0.0511,age,38.0,-0.6285,products_number,1.0,0.1059
15569892,0.0396,age,36.0,-1.139,products_number,1.0,0.1344
15569945,0.0289,age,30.0,-1.3003,active_member,0.0,0.3201
15570004,0.0173,age,32.0,-1.2575,active_member,0.0,0.2832
15570051,0.1669,products_number,2.0,-1.1909,limite_credito,110443.58,0.2985
15570073,0.3767,active_member,1.0,-1.0265,age,59.0,1.2231
15570086,0.0695,age,19.0,-1.3636,products_number,1.0,0.3125
15570134,0.0605,age,36.0,-1.0303,limite_credito,420373.8,0.1923
15570141,0.2193,age,36.0,-1.1292,active_member,0.0,0.3472
15570145,0.0369,age,24.0,-1.4107,active_member,0.0,0.2669
15570192,0.7447,age,41.0,-0.2975,country_germany,1.0,0.4506
15570194,0.0174,age,30.0,-1.2602,active_member,0.0,0.2994
15570205,0.0182,products_number,2.0,-1.4211,balance,0.0,0.0167
15570271,0.101,age,32.0,-1.047,products_number,1.0,0.4765
15570299,0.376,age,33.0,-1.3737,active_member,0.0,0.3999
15570360,0.0976,products_number,2.0,-1.2647,active_member,0.0,0.2962
15570414,0.321,gender_Female,0.0,-0.3628,active_member,0.0,0.4369
15570417,0.0272,products_number,2.0,-1.2778,active_member,0.0,0.3114
15570485,0.2399,age,42.0,-0.5386,active_member,0.0,0.3473
15570508,0.6823,tenure,7.0,-0.4951,age,51.0,1.611
15570629,0.0445,active_member,1.0,-1.032,gender_Female,1.0,0.2146
15570681,0.0392,age,26.0,-1.782,active_member,0.0,0.2531
15570769,0.0496,active_member,1.0,-1.1609,products_number,1.0,0.1414
15570855,0.0129,products_number,2.0,-1.3799,balance,0.0,0.0117
15570857,0.2211,products_number,2.0,-1.071,limite_credito,285878.21,0.3556
15570859,0.0317,products_number,2.0,-1.2425,limite_credito,163008.16,0.2408
15570895,0.3972,tenure,10.0,-0.643,active_member,0.0,0.374
15570908,0.1941,age,31.0,-0.9886,gender_Female,1.0,0.2642
15570912,0.0578,age,33.0,-1.1565,limite_credito,296827.45,0.2957
15570943,0.2697,age,36.0,-0.9053,country_germany,1.0,0.3634
15570947,0.0688,age,30.0,-1.133,gender_Female,1.0,0.2154
15570970,0.0907,products_number,2.0,-1.3749,gender_Female,1.0,0.3322
15570990,0.1634,age,31.0,-1.1882,limite_credito,220243.93,0.2956
15571002,0.4349,cidade_bordeaux,1.0,-0.4111,age,46.0,0.4537
15571081,0.291,active_member,1.0,-0.4389,products_number,1.0,0.1482
15571121,0.3821,active_member,1.0,-0.4986,age,52.0,1.314
15571144,0.0142,products_number,2.0,-1.1944,balance,0.0,0.1359
15571148,0.0451,age,23.0,-1.3206,active_member,0.0,0.3146
15571244,0.0567,products_number,2.0,-1.2294,gender_Female,1.0,0.2986
15571261,0.1342,products_number,2.0,-1.118,gender_Female,1.0,0.1535
15571281,0.0295,age,29.0,-1.3219,credit_utilization,0.6027039151410127,0.0743
15571284,0.0328,age,33.0,-1.2848,limite_credito,80655.54,0.1479
15571302,0.0508,active_member,1.0,-1.028,products_number,1.0,0.2291
15571476,0.1869,age,39.0,-0.9408,active_member,0.0,0.3484
15571550,0.1712,age,40.0,-0.7316,products_number,1.0,0.5311
15571571,0.9272,age,32.0,-1.0089,products_number,3.0,3.7308
15571689,0.0697,products_number,2.0,-1.268,gender_Female,1.0,0.2832
15571752,0.0791,age,34.0,-1.3214,products_number,1.0,0.2433
15571756,0.2353,age,29.0,-1.4261,products_number,1.0,0.5314
15571816,0.1104,active_member,1.0,-1.0174,products_number,1.0,0.3494
15571843,0.1737,age,25.0,-1.4888,products_number,1.0,0.4867
15571873,0.0359,age,25.0,-1.3158,products_number,1.0,0.0901
15571917,0.1847,products_number,2.0,-1.2243,limite_credito,263295.77,0.3128
15571958,0.1778,age,42.0,-0.5369,active_member,0.0,0.2934
15571973,0.2737,age,39.0,-0.8264,gender_Female,1.0,0.2545
15571995,0.0706,age,35.0,-1.1453,gender_Female,1.0,0.1898
15572021,0.0785,age,31.0,-1.2819,active_member,0.0,0.3313
15572022,0.182,age,38.0,-0.6217,products_number,1.0,0.4667
15572051,0.3334,active_member,1.0,-0.4097,products_number,1.0,0.5848
15572073,0.0182,products_number,2.0,-1.2888,balance,0.0,0.0365
15572093,0.1885,age,25.0,-1.4389,active_member,0.0,0.3308
15572114,0.0982,active_member,1.0,-0.442,products_number,1.0,0.1243
15572145,0.0291,products_number,2.0,-1.2761,active_member,0.0,0.2758
15572158,0.2163,age,42.0,-0.6063,products_number,1.0,0.4576
15572174,0.0516,age,31.0,-1.012,limite_credito,227683.32,0.3071
15572265,0.1442,products_number,2.0,-1.5534,age,48.0,0.5874
15572291,0.265,gender_Female,0.0,-0.3704,active_member,0.0,0.346
15572294,0.1,age,29.0,-1.5726,products_number,1.0,0.4683
15572356,0.1279,active_member,1.0,-0.9508,products_number,1.0,0.1176
15572360,0.0685,age,31.0,-1.4536,active_member,0.0,0.3375
15572361,0.2498,age,36.0,-0.9071,products_number,1.0,0.4546
15572374,0.01,products_number,2.0,-1.3942,balance,0.0,0.0208
15572390,0.0803,products_number,2.0,-1.3699,gender_Female,1.0,0.3334
15572408,0.1242,products_number,2.0,-1.3306,active_member,0.0,0.3472
15572428,0.219,age,34.0,-1.254,country_germany,1.0,0.3184
15572461,0.1425,age,30.0,-1.348,active_member,0.0,0.3429
15572467,0.0199,products_number,2.0,-1.3421,balance,0.0,0.0737
15572626,0.0204,products_number,2.0,-1.6297,age,45.0,0.3181
15572631,0.0515,age,27.0,-1.453,products_number,1.0,0.4037
15572657,0.0581,age,30.0,-1.1752,cidade_paris,1.0,0.1571
15572706,0.1875,age,39.0,-0.9614,products_number,1.0,0.5031
15572728,0.1439,age,37.0,-0.9599,active_member,0.0,0.3932
15572735,0.0156,products_number,2.0,-1.2853,country_spain,1.0,0.03
15572767,0.0332,products_number,2.0,-1.2492,active_member,0.0,0.3442
15572777,0.2694,active_member,1.0,-0.6276,age,49.0,1.0334
15572792,0.1099,age,37.0,-0.6873,products_number,1.0,0.1424
15572801,0.0789,age,36.0,-1.1387,limite_credito,179176.73,0.3358
15573045,0.1071,active_member,1.0,-1.3093,age,64.0,0.9266
15573086,0.1554,active_member,1.0,-0.5964,age,44.0,0.3826
15573112,0.1676,age,31.0,-1.2774,active_member,0.0,0.3879
15573152,0.0819,products_number,2.0,-1.3566,active_member,0.0,0.3043
15573242,0.2628,active_member,1.0,-0.6864,age,51.0,1.308
15573278,0.0308,products_number,2.0,-1.4288,active_member,0.0,0.3059
15573280,0.1333,products_number,2.0,-1.4695,age,52.0,1.0775
15573284,0.0734,products_number,2.0,-1.5315,active_member,0.0,0.3907
15573309,0.0985,products_number,2.0,-1.341,age,50.0,0.9559
15573318,0.0353,age,27.0,-1.2451,active_member,0.0,0.2956
15573319,0.1977,age,36.0,-0.7541,products_number,1.0,0.4325
15573348,0.0517,age,37.0,-0.7658,products_number,1.0,0.1032
15573452,0.6839,tenure,7.0,-0.3401,country_germany,1.0,0.3951
15573730,0.1993,products_number,2.0,-1.4202,limite_credito,181017.43,0.3068
15573741,0.0604,tenure,10.0,-0.5408,limite_credito,252104.35,0.0449
15573769,0.0397,age,25.0,-1.3592,active_member,0.0,0.2844
15573798,0.1262,products_number,2.0,-0.8939,limite_credito,224725.85,0.2876
15573854,0.0459,products_number,2.0,-1.2966,age,64.0,0.926
15573876,0.2574,products_number,2.0,-1.4549,age,50.0,1.3425
15573893,0.0277,products_number,2.0,-1.1038,limite_credito,104921.82,0.17
15573926,0.0612,age,39.0,-0.8638,limite_credito,192089.57,0.3213
15573971,0.0573,products_number,2.0,-1.7049,active_member,0.0,0.4432
15574004,0.0588,age,29.0,-1.2057,limite_credito,314017.32,0.229
15574071,0.0292,age,25.0,-1.1495,limite_credito,193057.84,0.1188
15574072,0.3437,active_member,1.0,-1.1069,age,64.0,0.5869
15574115,0.0878,products_number,2.0,-0.9343,gender_Female,1.0,0.1952
15574119,0.2861,active_member,1.0,-1.061,age,66.0,0.6077
15574122,0.0578,age,35.0,-1.3687,active_member,0.0,0.3268
15574137,0.0132,products_number,2.0,-1.4384,balance,0.0,0.017
15574142,0.0301,age,30.0,-1.1059,gender_Female,1.0,0.1166
15574167,0.0534,age,35.0,-1.2401,products_number,1.0,0.1745
15574169,0.3169,age,33.0,-1.3835,active_member,0.0,0.4482
15574206,0.054,products_number,2.0,-1.3134,gender_Female,1.0,0.3545
15574237,0.0265,products_number,2.0,-1.1981,gender_Female,1.0,0.2039
15574283,0.0206,products_number,2.0,-1.1856,credit_score,580.0,0.0977
15574296,0.0615,age,25.0,-1.4662,active_member,0.0,0.3087
15574305,0.096,age,37.0,-0.7367,products_number,1.0,0.1993
15574324,0.04,age,31.0,-1.2,gender_Female,1.0,0.1638
15574369,0.3198,active_member,1.0,-0.9782,age,55.0,1.5283
15574372,0.0796,age,36.0,-1.1355,active_member,0.0,0.3425
15574480,0.1205,age,33.0,-1.3923,active_member,0.0,0.3739
15574523,0.0224,products_number,2.0,-1.4473,balance,0.0,0.1031
15574554,0.093,active_member,1.0,-1.4081,age,67.0,0.3322
15574558,0.0144,products_number,2.0,-1.2819,cidade_bilbao,1.0,0.0703
15574584,0.0319,age,35.0,-1.2388,products_number,1.0,0.1365
15574608,0.0572,age,37.0,-0.74,products_number,1.0,0.1153
15574743,0.153,age,30.0,-1.1849,products_number,1.0,0.4698
15574795,0.2829,age,40.0,-0.3855,products_number,1.0,0.1956
15574842,0.2137,age,27.0,-1.6354,products_number,3.0,2.663
15574858,0.0131,products_number,2.0,-1.294,credit_score,530.0,0.0496
15574868,0.0747,products_number,2.0,-1.3472,active_member,0.0,0.3605
15574879,0.0777,products_number,2.0,-1.194,country_germany,1.0,0.1416
15574886,0.045,age,33.0,-1.2766,products_number,1.0,0.0943
15574910,0.7628,gender_Female,0.0,-0.2428,age,52.0,1.3343
15574947,0.0321,products_number,2.0,-0.8724,limite_credito,81096.14,0.2073
15575002,0.0767,age,30.0,-1.4622,active_member,0.0,0.3781
15575024,0.0139,products_number,2.0,-1.2394,estimated_salary,143954.99,0.0231
15575060,0.0253,age,26.0,-1.3221,active_member,0.0,0.2824
15575146,0.2271,products_number,2.0,-1.2662,age,52.0,1.2043
15575185,0.1368,age,34.0,-1.0316,products_number,1.0,0.2097
15575214,0.1659,age,38.0,-0.9866,products_number,1.0,0.5178
15575243,0.1313,products_number,2.0,-0.8211,limite_credito,231393.41,0.2166
15575247,0.0223,age,32.0,-1.377,active_member,0.0,0.2932
15575391,0.0951,products_number,2.0,-1.2729,gender_Female,1.0,0.2837
15575399,0.1593,products_number,2.0,-1.0603,limite_credito,319298.61,0.2409
15575409,0.4266,age,32.0,-1.1415,country_germany,1.0,0.4558
15575410,0.1883,products_number,2.0,-1.1772,active_member,0.0,0.3355
15575430,0.0589,age,34.0,-1.364,products_number,1.0,0.1571
15575438,0.1703,active_member,1.0,-0.4475,age,43.0,0.2552
15575445,0.1745,age,42.0,-0.5451,active_member,0.0,0.4011
15575486,0.0321,age,29.0,-1.3274,gender_Female,1.0,0.1651
15575492,0.0859,products_number,2.0,-1.3847,active_member,0.0,0.3232
15575498,0.2705,products_number,2.0,-0.9263,limite_credito,186002.4,0.3474
15575510,0.1592,age,33.0,-1.1966,products_number,1.0,0.1753
15575581,0.1083,age,31.0,-1.2666,active_member,0.0,0.3209
15575605,0.0213,products_number,2.0,-1.5683,credit_score,725.0,0.0651
15575619,0.086,age,33.0,-1.085,products_number,1.0,0.1869
15575623,0.195,age,32.0,-1.2611,active_member,0.0,0.367
15575676,0.0092,products_number,2.0,-1.2375,credit_utilization,,0.0154
15575679,0.0649,age,25.0,-1.5595,active_member,0.0,0.348
15575691,0.104,products_number,2.0,-1.3829,age,59.0,1.1317
15575694,0.2745,products_number,2.0,-1.0804,age,47.0,0.3911
15575748,0.0547,products_number,2.0,-0.8495,limite_credito,108712.66,0.3198
15575883,0.0275,age,36.0,-1.3001,active_member,0.0,0.295
15575955,0.0296,age,25.0,-1.4875,active_member,0.0,0.2854
15576000,0.0989,active_member,1.0,-0.5003,products_number,1.0,0.1311
15576022,0.0131,products_number,2.0,-1.4115,balance,0.0,0.0335
15576044,0.2298,age,29.0,-1.4102,active_member,0.0,0.434
15576077,0.0764,age,28.0,-1.2604,products_number,1.0,0.1593
15576085,0.034,products_number,2.0,-1.6763,active_member,0.0,0.3169
15576094,0.0258,products_number,2.0,-1.137,age,72.0,0.0797
15576111,0.2883,age,34.0,-1.4406,active_member,0.0,0.4449
15576124,0.4683,age,42.0,-0.336,balance,40488.76,0.2997
15576126,0.1573,active_member,1.0,-0.4105,products_number,1.0,0.1467
15576131,0.0204,products_number,2.0,-1.5698,active_member,0.0,0.2429
15576156,0.3811,age,29.0,-1.2972,products_number,1.0,0.5569
15576162,0.0277,age,34.0,-1.2448,products_number,1.0,0.0714
15576185,0.0137,products_number,2.0,-1.246,credit_utilization,,0.0222
15576219,0.0121,products_number,2.0,-1.2158,balance,0.0,0.0658
15576256,0.0175,products_number,2.0,-1.5477,balance,0.0,0.0408
15576263,0.1945,age,24.0,-1.5003,products_number,1.0,0.5323
15576269,0.0215,products_number,2.0,-1.345,active_member,0.0,0.33
15576313,0.431,balance,71340.09,-0.4011,products_number,1.0,0.3495
15576352,0.1441,products_number,2.0,-1.3126,age,59.0,1.1814
15576360,0.071,active_member,1.0,-0.505,products_number,1.0,0.1584
15576368,0.6184,products_number,2.0,-1.1513,age,49.0,1.0117
15576517,0.0514,age,36.0,-1.0126,gender_Female,1.0,0.3011
15576526,0.019,products_number,2.0,-1.3951,estimated_salary,41291.05,0.0637
15576602,0.0117,products_number,2.0,-1.4636,balance,0.0,0.0372
15576615,0.0908,age,38.0,-1.0326,active_member,0.0,0.3356
15576623,0.0192,age,33.0,-1.2845,active_member,0.0,0.3572
15576641,0.0776,products_number,2.0,-1.1275,limite_credito,271798.38,0.4189
15576676,0.0774,age,30.0,-1.2063,limite_credito,288678.75,0.1697
15576680,0.022,age,31.0,-1.3867,active_member,0.0,0.307
15576706,0.3805,age,39.0,-0.5595,country_germany,1.0,0.5004
15576714,0.0329,products_number,2.0,-1.2689,gender_Female,1.0,0.2151
15576723,0.052,products_number,2.0,-1.3961,gender_Female,1.0,0.2892
15576745,0.0722,products_number,2.0,-1.3091,age,50.0,1.0197
15576760,0.0551,products_number,2.0,-1.1496,active_member,0.0,0.3094
15576774,0.0552,products_number,2.0,-1.387,gender_Female,1.0,0.2436
15576928,0.2576,age,24.0,-1.4733,products_number,1.0,0.534
15576945,0.1033,age,30.0,-1.6733,products_number,1.0,0.4764
15576990,0.3158,age,26.0,-1.3753,products_number,1.0,0.4119
15577018,0.3436,age,28.0,-1.5668,active_member,0.0,0.4018
15577064,0.2219,products_number,2.0,-1.138,limite_credito,177168.26,0.3707
15577170,0.06,active_member,1.0,-1.2619,age,62.0,0.7079
15577398,0.0413,age,31.0,-1.1717,products_number,1.0,0.0775
15577402,0.017,products_number,2.0,-1.2294,credit_score,593.0,0.045
15577478,0.1533,active_member,1.0,-0.9496,products_number,1.0,0.3562
15577514,0.4778,age,38.0,-0.6664,country_germany,1.0,0.4446
15577598,0.1292,age,25.0,-1.2573,active_member,0.0,0.3485
15577657,0.0172,products_number,2.0,-1.6871,estimated_salary,170886.17,0.0597
15577683,0.0338,products_number,2.0,-1.1762,gender_Female,1.0,0.1715
15577695,0.1816,gender_Female,0.0,-0.3997,active_member,0.0,0.3296
15577700,0.0509,products_number,2.0,-0.8446,limite_credito,215366.22,0.3508
15577751,0.3616,age,32.0,-1.241,products_number,1.0,0.4397
15577806,0.544,active_member,1.0,-0.8121,age,55.0,1.5073
15577831,0.4859,age,42.0,-0.4004,country_germany,1.0,0.4511
15577905,0.0233,age,35.0,-1.0828,estimated_salary,182262.66,0.1137
15577913,0.0919,age,33.0,-1.2548,gender_Female,1.0,0.2538
15577970,0.1404,age,35.0,-1.3063,products_number,1.0,0.4747
15577985,0.0572,age,36.0,-0.967,gender_Female,1.0,0.1953
15577988,0.0366,products_number,2.0,-1.227,gender_Female,1.0,0.2399
15578006,0.0248,products_number,2.0,-0.9985,gender_Female,1.0,0.212
15578073,0.0336,products_number,2.0,-1.2909,active_member,0.0,0.3397
15578096,0.0591,age,27.0,-1.6636,active_member,0.0,0.1338
15578098,0.0122,products_number,2.0,-1.2281,credit_score,600.0,0.0509
15578156,0.0425,age,34.0,-1.0903,credit_utilization,1.0947793576910354,0.0873
15578186,0.0776,products_number,2.0,-1.0247,limite_credito,238373.95,0.3232
15578211,0.0172,products_number,2.0,-1.2398,balance,0.0,0.076
15578238,0.0643,products_number,2.0,-1.6719,age,48.0,0.4828
15578251,0.1006,products_number,2.0,-0.8486,active_member,0.0,0.3004
15578307,0.0733,age,35.0,-1.0082,limite_credito,139421.07,0.2404
15578369,0.4943,age,38.0,-0.8741,products_number,1.0,0.3889
15578374,0.1077,age,37.0,-0.9405,active_member,0.0,0.3231
15578375,0.0337,products_number,2.0,-1.6374,active_member,0.0,0.3276
15578462,0.0483,active_member,1.0,-0.8473,gender_Female,1.0,0.212
15578515,0.0653,products_number,2.0,-1.3574,active_member,0.0,0.3155
15578546,0.0858,age,27.0,-1.499,country_germany,1.0,0.3258
15578648,0.8659,gender_Female,0.0,-0.2229,age,50.0,1.2949
15578722,0.0197,products_number,2.0,-1.6056,active_member,0.0,0.2211
15578738,0.0535,age,33.0,-1.3138,products_number,1.0,0.1086
15578747,0.0688,age,28.0,-1.0275,products_number,1.0,0.2091
15578783,0.1373,age,37.0,-0.6899,country_germany,1.0,0.377
15578788,0.0251,products_number,2.0,-1.4478,active_member,0.0,0.3357
15578825,0.159,age,31.0,-1.2791,active_member,0.0,0.3807
15578835,0.393,active_member,1.0,-0.7162,age,52.0,1.1869
15578866,0.4307,active_member,1.0,-0.4743,age,45.0,0.5609
15578878,0.1666,age,32.0,-0.9053,products_number,1.0,0.1674
15578908,0.0254,products_number,2.0,-1.2326,gender_Female,1.0,0.2124
15578977,0.0196,products_number,2.0,-1.2699,active_member,0.0,0.3027
15578980,0.0305,products_number,2.0,-1.2039,gender_Female,1.0,0.1851
15579040,0.2435,products_number,2.0,-1.4698,age,48.0,0.707
15579062,0.0147,age,33.0,-1.3286,active_member,0.0,0.3047
15579074,0.1589,tenure,10.0,-0.5985,country_germany,1.0,0.3279
15579109,0.1539,age,37.0,-0.6976,products_number,1.0,0.4338
15579112,0.0485,products_number,2.0,-1.6981,age,49.0,0.8883
15579131,0.0081,products_number,2.0,-1.1862,balance,0.0,0.0337
15579166,0.1285,age,31.0,-1.1589,gender_Female,1.0,0.2489
15579183,0.0812,products_number,2.0,-1.2871,age,65.0,1.0906
15579189,0.0909,products_number,2.0,-1.4122,gender_Female,1.0,0.3062
15579207,0.1335,age,38.0,-1.0649,active_member,0.0,0.2944
15579208,0.0753,products_number,2.0,-1.5387,age,49.0,0.8691
15579223,0.254,age,31.0,-1.3271,active_member,0.0,0.4226
15579287,0.0188,products_number,2.0,-1.2673,credit_score,581.0,0.047
15579345,0.1536,active_member,1.0,-0.8056,products_number,1.0,0.2107
15579387,0.3701,products_number,2.0,-1.095,age,46.0,0.6826
15579433,0.066,age,31.0,-1.2886,limite_credito,135949.07,0.3045
15579548,0.0189,products_number,2.0,-1.3883,active_member,0.0,0.3141
15579559,0.0517,age,31.0,-0.9958,country_france,0.0,0.0617
15579583,0.1314,cidade_madrid,1.0,-0.5049,gender_Female,1.0,0.1596
